Epoch,Loss,class_accuracy,class_loss,val_accuracy,val_loss
1,0.8563914895057678,0.594222366809845,0.8563914895057678,0.6892499923706055,0.7030239105224609
2,0.7157100439071655,0.6852400898933411,0.7157100439071655,0.7144166827201843,0.6524099707603455
3,0.670551598072052,0.7133965492248535,0.670551598072052,0.731166660785675,0.6255277395248413
4,0.6456438302993774,0.7275488972663879,0.6456438302993774,0.7370833158493042,0.6158162951469421
5,0.6252511143684387,0.7386910915374756,0.6252511143684387,0.7458333373069763,0.601478099822998
6,0.6082956194877625,0.7462396025657654,0.6082956194877625,0.752916693687439,0.5916080474853516
7,0.597292423248291,0.7536306977272034,0.597292423248291,0.7561666369438171,0.582831859588623
8,0.5845638513565063,0.758613646030426,0.5845638513565063,0.7585833072662354,0.5783455967903137
9,0.5752366185188293,0.7632353901863098,0.5752366185188293,0.7594166398048401,0.5755974650382996
10,0.5686418414115906,0.7661436796188354,0.5686418414115906,0.7609999775886536,0.5747407674789429
11,0.5593606233596802,0.7717657089233398,0.5593606233596802,0.76583331823349,0.5698930621147156
12,0.5514087080955505,0.7745442986488342,0.5514087080955505,0.7637500166893005,0.5705669522285461
13,0.5439459085464478,0.7775822281837463,0.5439459085464478,0.7678333520889282,0.5652364492416382
14,0.5374075770378113,0.7814537882804871,0.5374075770378113,0.7670000195503235,0.5654407739639282
15,0.5321604013442993,0.7833154201507568,0.5321604013442993,0.7680000066757202,0.5650040507316589
16,0.5260529518127441,0.7863996624946594,0.5260529518127441,0.7661666870117188,0.566047728061676
17,0.5173050761222839,0.7911140322685242,0.5173050761222839,0.7650833129882812,0.5655508041381836
18,0.51133131980896,0.7927348613739014,0.51133131980896,0.7636666893959045,0.5701178908348083
19,0.5040666460990906,0.795735776424408,0.5040666460990906,0.7645000219345093,0.5706048011779785
20,0.4981593191623688,0.7989867329597473,0.4981593191623688,0.7670000195503235,0.5710541605949402
21,0.49012988805770874,0.8029230833053589,0.49012988805770874,0.768666684627533,0.567551851272583
22,0.4822864234447479,0.8061370253562927,0.4822864234447479,0.7680000066757202,0.5718030333518982
23,0.47642186284065247,0.8099159002304077,0.47642186284065247,0.7635833621025085,0.5678532719612122
24,0.46840813755989075,0.8137226104736328,0.46840813755989075,0.7680000066757202,0.5776395797729492
25,0.45891985297203064,0.8168901801109314,0.45891985297203064,0.7660833597183228,0.5734513998031616
26,0.449714332818985,0.8210210204124451,0.449714332818985,0.765250027179718,0.5817992687225342
27,0.441434770822525,0.8238552212715149,0.441434770822525,0.7650833129882812,0.5815921425819397
28,0.43252965807914734,0.8290789723396301,0.43252965807914734,0.7651666402816772,0.5915074944496155
29,0.42346376180648804,0.8330246210098267,0.42346376180648804,0.7621666789054871,0.5880028605461121
30,0.41299933195114136,0.8368590474128723,0.41299933195114136,0.7627500295639038,0.6005818843841553
